"Linguistic trait","LinguistictraitID","Linguistic components"
"se ne sèe","76559",""
"se sèe","76558",""
"si e pčenìca","76557",""
"čenìcatà e","76556",""
"se kàzva","76555",""
"se sèe","76554",""
"se ìgrə","76553",""
"se zəkòl’e","76552",""
"si zəkòle","76551",""
"sme pustìli","76550",""
"kət sme rəždàli","76549",""
"də gi duìme","76548",""
"ne sɤ̀m živeàla","76547",""
"dà sa ispàč’eni","76546",""
"sam tkàla","76545",""
"tikizis’è gu nəpràviə","76544",""
"əkɤ̀lə mi ̀ne sɤ̀m gu zəgùbilə","76543",""
"devedes’è gudìni gi nəvɤ̀ršəm","76542",""
"si e s’èlu","76541",""
"gerg’òvden gu praznùvahme","76540",""
"gu ubɤ̀rneme","76539",""
"iscrɤ̀vi se","76538",""
"gu ubɤ̀rneme","76537",""
"kàk gu puznàvəš","76536",""
"i prekàdi","76535",""
"izvàdimè i","76534",""
"də se ispekà","76533",""
"izmetèm jə","76532",""
"pet šès","76531",""
"soberè̝m se","76530",""
"suberè̝m se","76529",""
"č’e čèkə","76528",""
"ustàime si","76527",""
"si zəbrɤ̀kəme","76526",""
"č’e gu pràviš","76525",""
"č’e č’ìsne","76524",""
"se pečè","76523",""
"se pečè","76522",""
"hi izvàdime","76521",""
"se ispečè","76520",""
"si splèskəme","76519",""
"ud lèbə","76518",""
"se izpekà","76517",""
"sme rabotìli","76516",""
"se kàzva","76515",""
"lètn’oto go vlàčim","76514",""
"go zaròvi","76513",""
"esèn’oto žìto go ur nasèem","76512",""
"si vṛvìm","76511",""
"gu zavlèčeme","76510",""
"nasèem gu","76509",""
"zìam go","76508",""
"mu kàzvat","76507",""
"si ìma","76506",""
"mu kàzvaa","76505",""
"si ìmaše","76504",""
"mèlem go","76503",""
"kàčvame go","76502",""
"sùšime go","76501",""
"prostìramè go","76500",""
"šte go jadè","76499",""
"se krìe","76498",""
"si ìma","76497",""
"nafṛ̀game a","76496",""
"kato go odberèm","76495",""
"nèma vìdim","76494",""
"sèštam se","76493",""
"mu se kàzva","76492",""
"ako ne sɤ̀ volòvete","76491",""
"mu vìkəme","76490",""
"pràve:me si","76489",""
"mu vìka:me","76488",""
"č’e gu nəmèsime","76487",""
"mèsimè gu","76486",""
"ne sì li vidèl","76485",""
"gu pèkɤ le","76484",""
"si mesùvame","76483",""
"pìe se","76481",""
"jadè se","76480",""
"č’ ìda:","76478",""
"č’ ìiš","76477",""
"se ublàžime","76475",""
"se bujədìsa:","76474",""
"tə sme udìli","76473",""
"se e raptìlu","76471",""
"č’ ìim","76470",""
"vrɤ̀nemè se","76469",""
"də sì ne vòda:","76468",""
"ergènetò sə","76467",""
"vòda: si ne","76466",""
"bèga: si","76465",""
"pə si begùvame","76464",""
"dùma: si","76463",""
"sèdne si","76462",""
"də si zəlàže","76461",""
"si ìmə","76460",""
"sme rəbutìli","76459",""
"izgàsa: ni","76458",""
"pùsna: ne","76457",""
"ne nè pùsna:","76456",""
"si sedì","76455",""
"bèlitè i","76454",""
"se umòče","76453",""
"nè e kət segà","76452",""
"gò sme puvivàli","76451",""
"č’èrgi gò sme","76450",""
"gu puvìvəme","76449",""
"gu izmìem","76448",""
"gu izmìeme","76447",""
"i gu puvìeme","76446",""
"gu pùvə","76445",""
"si vṛšèm","76444",""
"pòčvamè a","76443",""
"ogràdim gi","76442",""
"fkàra si gi","76441",""
"si ìma","76440",""
"ogràdim si gi","76439",""
"uràsi gu","76438",""
"si vṛ̀zvame","76437",""
"kət se ròdi","76436",""
"gò sme gledàli","76435",""
"rəždàli gò sme","76434",""
"se vìkə","76432",""
"č’ ìde","76431",""
"č’ ìde","76430",""
"vṛ̀zvame si","76429",""
"č’e fàne","76428",""
"prèspa: si","76427",""
"pìta: gu","76426",""
"što ì mòtə","76425",""
"pìta: gu","76424",""
"pusrèštəmè jə","76423",""
"pusrèštəmè̝ jə","76422",""
"vòdimè jə","76421",""
"se ìdeše","76420",""
"gl'èdəm","76419",""
"zème","76418",""
"zème","76408",""
"бия.масло","76407",""
"коло","76406",""
"də gu zəwɨ̀vəme","76405",""
"gl’èdə","76404",""
"zèmeš","76403",""
"бързо","76402",""
"картофи","76401",""
"se l’ul’ɛ̀eme","76400",""
"sə kàčvəə","76399",""
"mu vìkəmè","76398",""
"št’à: ni ubɤ̀rne","76397",""
"dvà trì","76396",""
"nə l’ùl’ə","76395",""
"št’à: dədème","76394",""
"də sə l’ul’ɛ̀eme","76393",""
"mu vìkəme","76392",""
"də sə gl’èdət","76391",""
"ud ednɤ̀tə","76390",""
"si sədì","76389",""
"ud ednɤ̀tə","76388",""
"gi upìtvəme","76387",""
"št’àme də kùpime","76386",""
"št’à də ìdeme","76385",""
"dvà trì","76384",""
"tə upàli","76383",""
"š’e z’ème","76382",""
"bəštà mi","76381",""
"tàtku ti","76380",""
"se uč’àhne","76379",""
"se fàštət","76378",""
"də im fɤ̀rl’əd","76377",""
"tə gi berɤ̀d","76376",""
"ne jà puteb’àvət","76375",""
"də sə fjàkne","76374",""
"pèt š’ès","76373",""
"mu vìkəme","76372",""
"l’ehùdl’e gu vìkəmi","76371",""
"sə pupikàvə","76370",""
"də gu rəzvìje","76369",""
"vi kàzvəm","76368",""
"krəčònkite mu","76367",""
"də ne gù ub’ɨ̀və","76366",""
"krəčkàtə mu","76365",""
"də gu zəwɨ̀vəme","76364",""
" də gu puwɨ̀vəme","76363",""
"kət sə rudì","76362",""
"svekɤr mì","76361",""
"mɤžɤ̀ mi","76360",""
"go ovṛšèm","76359",""
"se vṛšè","76358",""
"ožɤ̀nem gu","76357",""
"vṛšèeme si","76356",""
"kàrame si","76355",""
"vṛ̀zvame si","76354",""
"žɤ̀tvata si a žɤ̀nem","76353",""
"gu vìd’ex","76352",""
"t’i stànə čəsɤ̀","76351",""
"si təčèxmi","76350",""
"si təčèxmi","76349",""
"še si kùpiš","76348",""
"sə uništužìə","76347",""
"sə uništužì","76346",""
"təkàli sni","76345",""
"təkàli sni","76344",""
"sə plit’è","76343",""
"t’à šə gi znài drugàrkətə","76342",""
"sə plit’è","76341",""
"šə uplit’èš","76340",""
"še si uputrebìš","76339",""
"še s plit’èš","76338",""
"še si plit’èš","76337",""
"še si plit’èš","76336",""
"də si duisɤ̀:ni","76335",""
"jə m’ètvəmi","76334",""
"sn’èməmi jə","76333",""
"kət sə upɤ̀ni","76332",""
"də sə upɤ̀ni","76331",""
"gu putup’àəmi","76330",""
"gu pràvim","76329",""
"sə slàgə","76328",""
"pr’èždətə jə mutàimi","76327",""
"màjkə mi","76326",""
"mə i ùčilə","76325",""
"si gu pridɤ̀","76324",""
"ni sɤ̀m slàgələ","76323",""
"də ni è l’èku","76322",""
"nòsi si jə","76321",""
"si ìmə","76320",""
"si ìmə","76319",""
"šə prid’è","76318",""
"si ìmə","76317",""
"šə plit’è","76316",""
"še plit’è","76315",""
"mu vìkət","76314",""
"sə kàzvə","76313",""
"si ustàvət","76312",""
"də se veselìm","76311",""
"šte pòm","76310",""
"št’e si puč’ìnem","76309",""
"š’e sə nəhrànime","76308",""
"š’e dòem","76307",""
"š’e se premenìme","76306",""
"št’à: pòm","76305",""
"gi pràime","76304",""
"se kàzvə","76303",""
"ìməne si","76302",""
"št’à də ìmə","76301",""
"št’à: ìmə","76300",""
"dv’ɛ̀ trì","76299",""
"ni beše ràbutətə","76298",""
" š’e gu vərš’èm","76297",""
"št’à ž’èneme","76296",""
"št’à dòjdeme","76295",""
"št’à də ìdeme","76294",""
"št’à zèmeme","76293",""
"dvàes trìese","76292",""
"š’e z’èmeme","76291",""
"št’à pòjdeme","76290",""
"ni beə nùž’ni","76289",""
"št’à pòčneme","76288",""
"št’à sedìme","76287",""
"də se gr’ɛ̀em","76286",""
"št’à: nòsime","76285",""
"št’à ə dòjde","76284",""
"št’à zəs’ɛ̀eme","76283",""
"št’à pòčneme","76282",""
"št’à: uvərš’ème","76281",""
"də mu vərzè̝","76280",""
"də gu č’èš’e","76279",""
"nɨ beše stràh","76278",""
"tərkàl’ət sə","76277",""
"vàl’ət sə","76276",""
"štèš’e də dòjde","76274",""
"fc’ɛ̀ti gi brəst’àxə","76273",""
"š’e se pòčne","76272",""
"ne sɤ̀ bilì","76271",""
"sə gi brəstìli","76270",""
"n’èməš’e gu tuvà zəjrè","76269",""
"tə gi kàrəne","76268",""
"mu vìkəme","76267",""
"mu vìkəme","76266",""
"si lež’àə","76265",""
"četrì:se pedesè","76264",""
"č’etirì:se pedesè","76263",""
"š’e ìmə","76262",""
"gi pràjət","76261",""
"ne sɤ̀ kətu segà","76260",""
"sə pràehə","76259",""
"də ne gì fàštət","76258",""
"ud vɛ̀truvetu","76257",""
"gi izbìrəhə","76256",""
"sə izbìrəhə","76255",""
"sə pràvehə","76254",""
"sə prài","76253",""
"jə pràine","76252",""
"nè e gàjdə","76251",""
"sme bilì","76250",""
"də sə zəwəvl’àvə","76249",""
"19574","76248",""
"tə si turulìkə","76247",""
"də se kàž’e","76246",""
"nè e n’àkujə","76245",""
"mu dùməme","76244",""
"mu vìkəme","76243",""
"mu vìkəme","76242",""
"də sə ubrəzùvə","76241",""
"gu vərš’àhə","76240",""
"mu vìkəme","76239",""
"š’e sì vəf pul’evɤ̀svutu","76238",""
"š’e̥ si̥ ufč’àr’","76237",""
"xrànexə gi","76236",""
"xrànexə gi","76235",""
"se zənimàvəhə","76234",""
" si ìməš’e","76233",""
"nè səm gl’èdəl","76232",""
"dujàhne gi","76231",""
"št’ɛše də i dukàrə","76229",""
"gi del’ɛne","76228",""
"se dəržɤt","76227",""
"gi puštəhne","76226",""
"š’e dəd’em","76225",""
"š’e udlɤ̀č’ime","76224",""
"im ər’èsvə","76222",""
"š’e i nəxranime","76221",""
"š’e gi nəxranime","76220",""
"š’e stanem","76219",""
"ufc’ɛte kətu gi počneš","76218",""
"ufc’ɛte","76217",""
"kətu gi pòčneš","76216",""
"kətu se uženix","76215",""
"uženix","76214",""
"si beh ufč’ar’","76213",""
"уртосвам","76212",""
"me e ostàvil","76211",""
"sɤm odìla","76209",""
"nèi dàdoa","76208",""
"ni plàštaa","76207",""
"šte ni vṛ̀zva","76206",""
"nèmu si e","76205",""
"sɤm vṛzàl","76204",""
"sɤm vṛzàl","76203",""
"sa te ostàvile","76202",""
"nèma da pìeš","76201",""
"ne sè sṛdì","76200",""
"če sa te ostàvile","76199",""
"ne sè sṛdì","76198",""
"čorbadžìata ni","76197",""
"si odgovàra za nègo","76196",""
"vi ne mèšam","76195",""
"da ne sɤ̀m došlà","76194",""
"ni bèše dragomànin","76193",""
"se ispràvi","76192",""
"ne sɤ̀ a čùle tàa dùma","76191",""
"ostàvim a","76190",""
"kato a zarèza:me","76189",""
"a potkarvà:me","76188",""
"ta gi ne znàm sìčkite","76187",""
"e počìnal","76186",""
"da si bɤ̀brem","76185",""
"što me pìta","76184",""
"sme otišlè","76183",""
"od mène","76182",""
"da ti kàža","76181",""
"komšìjk’a mi bèše","76180",""
"mi nè e sestrà","76179",""
"sestrà li ti bèše","76178",""
"žìva li e ili umrèla","76177",""
"da a znàm","76176",""
"znàeš li a","76175",""
"sestrà mu","76174",""
"a ne znàeš","76173",""
"še kàrame","76172",""
"šte zìmame","76171",""
"si fànem","76170",""
"kàrame mu","76169",""
"fànem si","76168",""
"ta se trèpeme","76167",""
"da mu žɤ̀ne","76166",""
"dәšter’ɤ̀","76165",""
"Bangejci 1: 28","76164",""
"sɤ̀but’en","76163",""
"dòdәt","76162",""
"nid’èl’en","76161",""
"ìdәt","76159",""
"Bangejci 1: 27","76160",""
"žuv’èe","76158",""
"dәšter’ɤ","76157",""
"ìmәm","76156",""
"òrә","76154",""
"Bangejci 1: 19","76155",""
"ìmә","76153",""
"tùkә","76152",""
"àj","76151",""
"kɤ̀štičkә","76150",""
"sim’èjni","76149",""
"Bangejci 1: 16","76148",""
"ìmәši","76147",""
"ubàči","76146",""
"Bangejci 1: 12","76145",""
"Bangejci 1: 7","76144",""
"puràsnәlә","76143",""
"kɤ̀štә̥","76141",""
"Bangejci 1: 5","76142",""
"umɤ̀žilә","76140",""
"Bangejci 1: 1","76139",""
"si go vìka","76138",""
"dòde li mu","76137",""
"si e fanàl","76136",""
"nè e sàmo edìn","76135",""
"ni čèkat","76134",""
"ni srèšnat","76133",""
"si òdime","76132",""
"od ixtimàn","76131",""
"ta si ostàim","76130",""
"zakàrat ni","76129",""
"srèšnat ni ","76128",""
"ni sòpšti ","76127",""
"go znàe","76126",""
"pet.šesnàese","76125",""
"sɤberèm se","76124",""
"se kàzvaše","76123",""
"sɤberè ni","76122",""
"si dòdem","76121",""
"ta sɤm odìla","76120",""
"si dòda","76119",""
"sɤm gledàla","76118",""
"sedèla sɤm","76117",""
"mèn zavèdoa","76116",""
"màjka mi","76115",""
"baštà mi","76114",""
"me e zavèl","76113",""
"sɤm bilà","76112",""
"odìla sɤm","76111",""
"ne sɤ̀m odìla","76110",""
"ne sɤ̀m odìla","76109",""
"ta ni zbràa","76108",""
"presèlia ni","76107",""
"se ožènix","76106",""
"sɤm živ’àla","76105",""
"šə vìdiš","76100",""
"kətu se už'ènix","76095",""
"si beh ufč'àr'","76094",""
"bi lìtnul","76092",""
"mu","76091",""
"pòčvəm","76090",""
"ud r’àkətə","76089",""
"nàmi","76088",""
"pà si sè e praznuvàlu","76087",""
"pràš’č’ejmè mu","76086",""
"ta mu pràš’č’ajme","76085",""
"ud razbòe","76084",""
"se svàla:","76083",""
"se vàla:","76082",""
"sa napraìli","76080",""
"ud rekàta","76079",""
"ne stè le viždàli","76078",""
"da se svàle","76077",""
"nòsuvàme gu","76076",""
"gu sŭšìeme","76075",""
"si mɛ̀tam","76074",""
"gu izvàždam","76073",""
"mɛ̀tamè ta","76072",""
"nègu gu fmɛ̀tame","76071",""
"ta gò sme presukàle","76070",""
"se fmɛ̀ta","76069",""
"da se ne nasùgruva","76068",""
"da se ìspne","76067",""
"mòtame ja","76066",""
"uvlàč’ime ja","76065",""
"isperèm a","76064",""
"se tčè","76063",""
"gu nàsnuva","76062",""
"tòlkuà gu","76061",""
"prìvɤrzà gu","76060",""
"isʌ̀hneši","76059",""
"i","76057",""
"i","76056",""
"kirəž’ilɤ̀g","76055",""
"rudɨ̀l","76054",""
"vdɛ̀nemè gu","76053",""
"nàvià gu","76052",""
"òsnuvà gu","76051",""
"sam tkàla","76049",""
"sam tkàla","76048",""
"si kùpime","76047",""
"tkàla sam","76046",""
"kat gu napràime","76045",""
"zgòtvi se","76044",""
"naprài se","76043",""
"rabòtte sì se e rabotìlu","76041",""
"praznuvàlo sè e","76040",""
"ne jà sa praznuvàli","76039",""
"kòledà le","76038",""
"ta si ozdravɛ̀","76037",""
"rèkal","76036",""
"š’čò sè si upravìl","76035",""
"dər’ɤ̀d","76034",""
"tə mu bɛ̀še vikàl","76033",""
"gà mu se priedè","76032",""
"da si màže","76031",""
"mu pràš’č’ejme","76030",""
"bɛ̀jme zaklàli","76029",""
"pa mi rèkua","76027",""
"gu pɤ̀rža:","76026",""
"ni e nàj temelìjata xranà","76025",""
"nemòj učì","76024",""
"dž’òre gu vìkame","76023",""
"mu vìkam","76022",""
"ta se puknàl","76021",""
"go zabolɛ̀","76020",""
"šo è dòlu","76019",""
"mažò mi","76017",""
"mi dàvaa","76016",""
"ot sì sam uddɛ̀lnu","76015",""
"si kòleme","76014",""
"si i","76013",""
"ne mò vi kažùvam","76012",""
"da ja fàne","76010",""
"si vìkame","76009",""
"se izvàžda","76008",""
"zəlujàvə","76007",""
"iznìsəd","76006",""
"drug","76005",""
"drùgəsə","76004",""
"gəlčɛ̀hme","76003",""
"zəkòpčiž","76002",""
"гърчул","76001",""
"prepr’ɛ̀č’ət","76000",""
"ispr’əd’è̝me","75999",""
"sèdem.osemnàes","75998",""
"kažàl","75997",""
"žuv'eli","75996",""
"k’i i napɤ̀l’nat","75995",""
"kupùvad","75994",""
"Tihomir 1: 270","75993",""
"erbiti","75992",""
"kažal","75991",""
"kažali","75990",""
"Široka Lŭka: 50","75989",""
"окривея","75988",""
" министър","75987",""
"f ìzbatà e","75986",""
"e izvàdime","75985",""
"se nasòli","75984",""
"f kàcatà se","75983",""
"se nasòluva","75982",""
"razrɛ̀š’ a","75981",""
"slanìnatà le","75980",""
"ja nasòluvàme","75979",""
"se razrɛ̀žuva","75978",""
"slanìnatà se","75977",""
"se nafpàva:","75976",""
"krɛ̀šč’inì se","75975",""
"krɤftà im","75974",""
"si ìma","75973",""
"si ìma","75972",""
"ùbuù ta","75971",""
"da sà izmìeni","75970",""
"crevàta i mìeme","75969",""
"si ìma","75968",""
"podadè se","75967",""
"se podadà","75966",""
"što sè razrɛ̀žuva","75965",""
"vìkamè gu smɛ̀nka","75964",""
"gu vìkame tovà smɛ̀nka","75963",""
"se rɛ̀že","75962",""
"udrɛ̀že se","75961",""
"se razrɛ̀žuva","75960",""
"se mìe","75959",""
"se ukàdi","75958",""
"iscɤ̀rvi se","75957",""
"go pɤ̀rža:","75955",""
"uvedè se","75954",""
"da se oplɛ̀ši","75953",""
"gùdetù da","75952",""
"da se zadùši̥","75951",""
"polìvamè gu","75950",""
"go polìvame","75949",""
"go cɤ̀rva:","75948",""
"da se pràvi","75947",""
"se pràvi","75946",""
"tùrilə","75942",""
"sɤ̀g","75941",""
"vìkaxme","75940",""
"zəčerv’àvə","75939",""
"ukɤ̀št’i","75938",""
"kòl’i","75937",""
"искарвам","75936",""
"iskarvaž","75935",""
"istìnəlu","75934",""
"zbugùvə","75933",""
"pɤ","75932",""
"da si kùpiš","75929",""
"se pràvi","75928",""
"ga se zakòla:","75927",""
"go edème","75926",""
"se sipùva","75925",""
"da se karaštìsḁ","75924",""
"što sàm turìla","75923",""
"da a sipùvame","75922",""
"katò a izvàdime","75921",""
"da ì zavrìm","75920",""
"turìla sam","75919",""
"nè e zapečàtena","75918",""
"se plèskaše","75917",""
"ud nètre","75916",""
"ta go prìfpaa","75915",""
"se tùra","75914",""
"ta gu kavardìsam","75913",""
"ud rasòlu","75912",""
"ta go zapečàtime","75911",""
"č’e kažùvam","75910",""
"da nè e fnògu č’ìsalu","75909",""
"gu tùrime","75908",""
"d nè e fnògu č’ìsalu","75907",""
"čùle lè ste","75906",""
"napràimè su̥s","75905",""
"gu pràvime","75904",""
"ud nègo","75903",""
"što sè kàzva","75902",""
"də ti kàža","75901",""
"sme pravìli","75900",""
"ùbaù ta","75899",""
"navàrimè ta","75898",""
"ubàvotò e","75897",""
"raš’č’urìl se e","75896",""
"se nadùl","75895",""
"napravɛ̀li sa","75894",""
"štu̥ sà napravɛ̀li","75893",""
"ùbavò e","75892",""
"se napɤ̀ni","75891",""
"se navìe","75890",""
"nàvià gu","75889",""
"gu nàvia","75888",""
"a pràim","75887",""
"a pràva","75886",""
"a pràveše","75885",""
"i pràvime","75884",""
"sam pravìla","75883",""
"bòreli ","75882",""
"sa napìva","75881",""
"kəd","75880",""
"fnas root s1 postj0 /'e/","75879","CONDITIONS →›ⓙ Postalveolars & /j/›not after postalveolar or /j/, CONDITIONS →›ⓜ Morpheme Type›root, CONDITIONS →›ⓢ Stress›stressed, Phonology →›Vowels →›Historical Slavic Vowels →›front nasal ⓜ ⓢ ⓙ ℝ, REALIZATIONS →/as/›/’e/"
"Iskrica 3: 53","75878",""
"nərɤ̀s’uvə","75877",""
"nər’èt","75876",""
"mèk","75875",""
"ja pulɛ̀eme","75874",""
"kat sa ispeč’è","75873",""
"da sa peč’è","75872",""
"tùremè ja","75871",""
"sa nadùvaa","75870",""
"gu pulìvaš","75869",""
"a polɛ̀eme","75868",""
"srɛ̀žeme ja","75867",""
"naprav’ɛ̀li sme","75866",""
"i napràeme","75865",""
"òliò i","75864",""
"č’e sme slagàle","75863",""
"ne smè slagàle","75862",""
"bànịcà a vìkame","75861",""
"sme nəpràəli","75860",""
"urè","75859",""
"əd","75858",""
"Iskrica 3: 116","75857",""
"òstrə","75856",""
"dɤ̀lga","75855",""
"порода","75854",""
"Iskrica 3: 115","75853",""
"bəlkànski","75852",""
"puròdə","75851",""
"m’èsnə","75850",""
"Iskrica 3: 114","75849",""
"пропускам","75848",""
"Iskrica 3: 113","75847",""
"prupùskə","75846",""
"dibèl","75845",""
"vàl’əə","75844",""
"vàl’əni","75843",""
"Iskrica 3: 112","75841",""
"качула","75840",""
"Iskrica 3: 111","75839",""
"zəvìjš","75838",""
"kəčùlətə","75837",""
"Iskrica 3: 110","75836",""
"t'à","75835",""
"Iskrica 3: 109","75834",""
"kəčùlkə","75833",""
"vìka:mi","75832",""
"jəmurlùci","75831",""
"Iskrica 3: 108","75830",""
"studènu","75829",""
"Iskrica 3: 107","75828",""
"zdràvu","75827",""
"krɤ̀sta","75825",""
"Iskrica 3: 106","75826",""
"zəvìt","75824",""
"pòjəs","75823",""
"vrɤ̀fki","75822",""
"Iskrica 3: 105","75821",""
"n’àkuku","75820",""
"Iskrica 3: 104","75819",""
"nəvìti","75818",""
"vɤrvì","75817",""
"nàvuštə","75816",""
"svìnski","75815",""
"cərvùli","75814",""
"Iskrica 3: 103","75813",""
"patùri","75812",""
"ubliklò","75810",""
"Iskrica 3: 102","75811",""
"ufčàrskutu","75809",""
"облекло","75808",""
"Iskrica 3: 101","75807",""
"obleklò","75806",""
"ofčàrskoto","75805",""
"oblìčali","75804",""
"Iskrica 3: 100","75803",""
"xàpuviti","75802",""
"Iskrica 3: 99","75801",""
"didèm","75800",""
"lèkəri","75799",""
"vitirinàrniti","75798",""
