"Lexeme","LexemeID","Lexical traits","Note"
"окалям","74403","",""
"бурчак","74402","Turkish loan, dialectal lexeme",""
"фий","74401","",""
"Анжела","74400","",""
"плуг","74399","German loan",""
"Нечо","74398","",""
"джамбазлък","74397","Turkish loan",""
"чорбаджувам","74396","",""
"сръбско-български","74395","compound",""
"поизраста","74394","",""
"болнав","74393","",""
"препрягам","74392","",""
"преведа","74391","",""
"стопански","74390","",""
"заголвам","74389","",""
"прескачам","74388","",""
"заглаждам","74387","",""
"забраждам","74386","",""
"белизма","74385","",""
"суват","74384","Turkish loan, dialectal lexeme",""
"пашище","74383","",""
"пощръклея","74382","",""
"стрико","74381","dialectal lexeme",""
"пастрок","74380","",""
"повторник","74379","",""
"превеждам","74378","",""
"принуждавам","74377","",""
"звънче","74376","",""
"преваля","74375","",""
"хранителен","74374","",""
"следобед","74373","",""
"Бечко","74372","",""
"насъбера","74371","",""
"парцалче","74370","",""
"сукалче","74369","",""
"сгъстявам","74368","",""
"нанякъде","74367","",""
"царевичка","74366","",""
"изпопаса","74365","",""
"къпина","74364","",""
"отвърдявам","74363","",""
"редичък","74362","",""
"сполучлив","74361","",""
"кози","74360","",""
"кашкавал","74359","Romanian loan",""
"доматенце","74358","",""
"у.дома","74357","",""
"пресносолен","74356","compound",""
"осолявам","74355","",""
"цедак","74354","dialectal lexeme",""
"маичка","74353","",""
"оцедя","74352","",""
"Валентина","74351","",""
"рогат","74350","",""
"Красимира","74349","",""
"Лиза","74348","",""
"Лина","74347","",""
"Марта","74346","",""
"зимничка","74345","",""
"Мартина","74344","",""
"Бечо","74343","",""
"Любка","74342","",""
"Петя","74341","",""
"Сашка","74340","",""
"обичка","74339","",""
"плешанка","74338","dialectal lexeme",""
"Павлинка","74337","",""
"хапвам","74336","",""
"яренце","74335","",""
"лапенце","74334","",""
"сменям","74128","",""
"преместя","74127","",""
"понатъка","74126","",""
"зъбци","74125","",""
"метален","74124","",""
"бърдило","74123","dialectal lexeme",""
"пълничък","74122","",""
"димитно","74121","Greek loan",""
"лито","74120","Greek loan",""
"казак","74119","",""
"запазвам","74118","",""
"жица","74117","dialectal usage",""
"навтуря","74116","",""
"калам","74115","Greek loan, dialectal lexeme",""
"преснова","74114","",""
"сглобявам","74113","",""
"сглобя","74112","",""
"навра","74111","",""
"вдлъбна","74110","",""
"потъна","74109","",""
"отъка","74108","",""
"аршинка","74107","dialectal lexeme",""
"препреча","74106","",""
"гърчуля","74105","",""
"гърча","74104","",""
"претъкавам","74103","",""
"сновалка","74102","",""
"насуча","74101","",""
"врътка","74100","",""
"смотая","74099","",""
"измуцвам","74098","dialectal lexeme",""
"замуцам","74097","dialectal lexeme",""
"тегля","74096","",""
"вързалка","74095","",""
"муцам","74094","dialectal lexeme",""
"връткам","74093","",""
"разчепкам","74092","",""
"очепкам","74091","",""
"продан","73611","",""
"бубахак","73610","Turkish loan, dialectal lexeme",""
"бол","73609","Turkish loan",""
"перо","73608","",""
"стаичка","73607","",""
"зидария","72869","",""
"кръстец","72858","",""
"гуляя","72164","",""
"угоден","72163","",""
"отменя","72162","",""
"огрибка","72161","",""
"преткъщи","72160","",""
"плодородие","72159","compound, markedly standard lexeme",""
"честит","72158","",""
"килимче","72157","",""
"богатски","72156","",""
"младоженяк","72155","compound",""
"наутре","72154","dialectal lexeme",""
"панделка","72153","",""
"накича","72152","",""
"разклоня","72151","",""
"карта","72149","",""
"нагюбря","72148","dialectal lexeme",""
"развлека","72147","",""
"загюбря","72146","dialectal lexeme",""
"привикна","72145","",""
"белавица","72144","dialectal lexeme",""
"извън","72143","",""
"отдето","72142","",""
"кофка","72141","",""
"дръгълец","72140","dialectal lexeme",""
"шибак","72139","dialectal lexeme",""
"стъп","72138","dialectal lexeme",""
"изчуквам","72137","",""
"превършея","72136","",""
"очеша","72135","",""
"ороня","72134","",""
"пазаря","72133","",""
"иззидам","72132","",""
"калджия","72131","",""
"дзъдия","72130","dialectal lexeme",""
"прехрана","72129","",""
"Елешница","72128","",""
"елешничанин","72127","",""
"възстановя","72126","",""
"салма","72125","Turkish loan, dialectal lexeme",""
"дявол","72124","Greek loan",""
"мисирен","72123","dialectal lexeme",""
"царевен","72122","dialectal lexeme",""
"просеник","72121","",""
"царевина","72120","dialectal lexeme",""
"подмесвам","72090","",""
"гьоз","72089","Turkish loan, dialectal lexeme",""
"отъркалям","72088","",""
"наклаждам","72087","",""
"Хръкли","72086","",""
"споря","72085","",""
"задължа","72084","",""
"седемнадесети","72083","",""
"прапрадядо","72082","",""
"бракма","71391","dialectal usage",""
"тюл","71390","",""
"ува","71389","dialectal lexeme",""
"рова","71388","dialectal lexeme",""
"синчен","71387","dialectal lexeme",""
"паричен","71386","dialectal lexeme",""
"було","71385","",""
"мрежа","71384","",""
"гъркиня","71383","",""
"мурафет","71382","Turkish loan",""
"помен","71381","",""
"одуши","71380","dialectal lexeme",""
"улавям","71134","",""
"га","71133","",""
"ярмосам","71132","dialectal lexeme",""
"разсуча","71131","",""
"калмукан","71130","Greek loan, dialectal lexeme",""
"клувия","71129","dialectal lexeme",""
"съветвам","71128","",""
"продумвам","71127","",""
"неверен","71126","",""
"Тяна","71125","",""
"Ирина","71124","",""
"жакет","71123","",""
"манта","71122","Romanian loan, dialectal lexeme",""
"цариградски","71121","",""
"свъртам","71120","",""
"Годьо","71119","",""
"братовчед","71118","compound",""
"дядови","71117","",""
"Добра","71116","",""
"ценявам","71115","dialectal lexeme",""
"имане","71114","",""
"пристана","71113","",""
"Величка","71112","",""
"преобличам","71111","",""
"пристануша","71110","",""
"избягвам","71109","",""
"приставам","71108","",""
"случка","71107","",""
"вардиянин","70361","",""
"сметна","70360","",""
"хотел","70359","",""
"пазач","70358","",""
"избор","70357","",""
"баталясам","70356","dialectal lexeme",""
"вагон","70355","",""
"товарен","70354","",""
"варница","70353","",""
"челичен","70352","",""
"Вастилци","70351","",""
"ядосвам","70350","",""
"изкрадна","70349","",""
"опропастя","70348","",""
"пооплодя","70347","",""
"изтривам","70346","",""
"кокошчица","70345","",""
"фалирам","70344","",""
"дезесе","70343","",""
"обзаведа","70342","",""
"бахчинка","70341","",""
"овощен","70340","",""
"запустея","70339","",""
"изживея","70338","",""
"халам","70282","dialectal lexeme",""
"неволя","70281","",""
"извор","70280","",""
"хувавчек","70216","dialectal lexeme",""
"яйчице","70215","",""
"ръсилка","70214","dialectal lexeme",""
"камшик","70213","",""
"хлебче","70212","",""
"торбица","70211","",""
"паламарчица","70210","",""
"мазен","70209","",""
"кравен","70208","",""
"крави","70145","",""
"майсторлък","70144","",""
"косъм","70143","",""
"натруня","70142","dialectal lexeme",""
"чудесен","70141","",""
"животински","70140","",""
"оризов","70139","",""
"дибидюс","70138","Turkish loan",""
"зауша","70137","",""
"нацепя","70136","",""
"караманка","70135","dialectal lexeme",""
"лютеница","70134","",""
"младост","70133","",""
"фуча","70132","",""
"уморявам","70131","",""
"посиня","69721","",""
"стъпалце","69720","",""
"поставям","69719","",""
"избелвам","69718","",""
"пул","69717","Turkish loan, dialectal usage",""
"Кънчев","69716","",""
"Аврам","69715","",""
"въглища","69714","",""
"формен","69713","",""
"нахлузя","69712","",""
"кравайче","69711","",""
"почерпвам","69710","",""
"доразкажа","69709","",""
"опиша","69692","",""
"мастило","69691","",""
"Владимир","69690","compound",""
"макар.че","69689","",""
"додам","69688","",""
"умиря","69687","",""
"наструпам","69686","",""
"жаден","69685","",""
"Търговско","69684","",""
"Милица","69683","",""
"Мита","69682","",""
"Горелино","69681","",""
"надзъртам","69680","",""
"Закапина","69679","",""
"Павлов","69678","",""
"овия","69677","dialectal lexeme",""
"овам","69676","dialectal lexeme",""
"мечи","69675","",""
"отовам","69674","dialectal lexeme",""
"Станишин","69673","",""
"Иван","69672","",""
"проветлив","69658","",""
"помещение","69657","",""
"зачервявам","69656","",""
"захаросвам","69655","",""
"кълбо","69654","",""
"отлепя","69653","",""
"пласт","69652","",""
"поставка","69651","",""
"сгъстя","69650","",""
"буре","69649","",""
"дъно","69648","",""
"тагар","69647","Turkish loan, dialectal lexeme",""
"слегна","69646","",""
"канче","69645","",""
"гребна","69644","",""
"кепче","69643","Turkish loan, dialectal lexeme",""
"варак","69642","",""
"сок","69641","",""
"подклаждам","69640","",""
"център","69639","",""
"Станчов Хан ","69638","",""
"застроя","69637","",""
"подклада","69636","",""
"загоря","69635","",""
"изкъвърявам","69634","dialectal lexeme",""
"напълвам","69633","",""
"триста","69632","",""
"пестил","69631","Turkish loan",""
"мармалад","69630","",""
"овошка","69629","",""
"овощарство","69628","",""
"кьсничък","69329","",""
"пъкло","69328","",""
"вечен","69327","",""
"джендем","69326","Turkish loan",""
"халал","69325","Turkish loan",""
"звезда","69324","",""
"гатер","69323","",""
"петнадесети","69322","",""
"усещам","69321","",""
"отглади","69320","",""
"милионер","69319","",""
"подобен","69318","",""
"отгде","69317","",""
"склероза","69316","",""
"свитък","69315","",""
"гюнлюк","69314","Turkish loan, dialectal lexeme",""
"муленце","69313","",""
"четиридесети","69312","",""
"догодина","69295","",""
"иш.Аллах","69294","Turkish loan",""
"мисирче","69293","dialectal lexeme",""
"навадя","69292","",""
"Ореше","69291","",""
"мешка","69290","dialectal lexeme",""
"нивичка","69289","",""
"възможен","69288","folk etymology",""
"затрия","69287","",""
"сварявам","69286","",""
"посъбера","69285","",""
"строшавам","69284","",""
"торя","69283","",""
"аргатин","69282","Greek loan",""
"почервенея","69281","",""
"отмекна","69280","",""
"омажа","69279","",""
"подмажа","69278","",""
"шарланче","69277","dialectal lexeme",""
"шарлан","69276","Turkish loan, dialectal lexeme",""
"содичка","69275","",""
"пременя","69274","",""
"говедар","69273","",""
"побарвам","69272","",""
"нареда","69271","dialectal lexeme",""
"разчепквам","69270","",""
"саканка","69269","dialectal lexeme",""
"почепкам","69268","",""
"тютюнче","69267","",""
"маказ","69266","Turkish loan, dialectal lexeme",""
"сиджимче","69265","dialectal lexeme",""
"кутна","69264","dialectal lexeme",""
"наемам","69263","",""
"позасъбера","69262","",""
"текезесарски","69261","",""
"разхвърля","69260","",""
"издам","69259","",""
"овчица","69258","",""
"орехов","69257","",""
"каменичев","69256","dialectal lexeme",""
"надърпвам","69255","",""
"омахам","69254","",""
"шелте","69253","Turkish loan",""
"огъна","69252","",""
"макаричка","69251","",""
"напридам","69250","",""
"навъртя","69249","",""
"руданче","69248","dialectal lexeme",""
"плешка","69247","",""
"подножкова","69246","dialectal lexeme",""
"скръндза","69220","",""
"майтап","69219","Turkish loan",""
"квартира","69218","",""
"стотина","69217","",""
"подсигуря","69216","",""
"денонощен","69215","compound",""
"изумя","69214","",""
"засъхна","69213","",""
"пооправя","69212","",""
"овикам","69211","",""
"овиквам","69210","",""
"яденце","69209","",""
"изваричка","69208","",""
"млечице","69207","",""
"доматче","69206","",""
"бабински","69205","",""
"потаковам","69204","",""
"изплаша","69203","",""
"побайвам","69202","",""
"поблажавам","69201","dialectal lexeme",""
"отвсякъде","69200","",""
"баячка","69199","",""
"поседявам","69198","",""
"Ленка","69197","",""
"измет","69196","Turkish loan",""
"социален","69195","",""
"сами","69194","",""
"окуся","69193","",""
"подготвям","69192","",""
"замръзна","69191","",""
"нападна","69190","",""
"Настан","69189","",""
"Райково","69188","",""
"премажа","69187","",""
"Мугла","69186","",""
"револвер","69185","",""
"хайдутин","69184","Turkish loan",""
"отмъстя","69183","",""
"намразя","69182","",""
"опитам","69181","",""
"вуйчо","69180","",""
"гяурин","69179","Turkish loan",""
"пехливанин","69178","Turkish loan",""
"поборя","69177","",""
"борба","69176","",""
"буен","69175","",""
"войвода","69174","",""
"Кральо","69173","",""
"крал","69172","",""
"Къркларе","69171","",""
"Тополово","69170","",""
"топола","69169","",""
"кавак","69168","Turkish loan",""
"Кралево","69167","",""
"кранче","69155","",""
"ракийца","69154","",""
"задъня","69153","",""
"бомба","69152","",""
"източвам","69151","",""
"згъча","69150","",""
"кръчма","69149","",""
"почернявам","69148","",""
"умен","69147","",""
"смешен","69146","",""
"професор","69145","markedly standard lexeme",""
"изсипвам","69144","",""
"пералничка","69143","",""
"включвам","69142","",""
"отварявам","69141","",""
"издоявам","69140","",""
"наръсвам","69139","",""
"отварица","69138","",""
"Костиново","69137","",""
"маица","69136","",""
"сторвам","69135","",""
"запазя","69134","",""
"декарче","69096","",""
"Траки","69095","",""
"множко","69094","",""
"издигам","69093","",""
"хеле","69092","Turkish loan, dialectal lexeme",""
"спечеля","69091","",""
"зорен","69090","",""
"побера","69089","",""
"сарък","69088","Turkish loan, dialectal lexeme",""
"образование","69087","markedly standard lexeme",""
"счетоводител","69086","",""
"съкратя","69085","",""
"Криво Поле","69084","",""
"дъщерица","69083","",""
"факир","69082","Turkish loan",""
"къщица","69081","",""
"Делчо","69080","",""
"хак","69079","Turkish loan, dialectal lexeme",""
"Кольо","69078","",""
"откога","69077","",""
"Катунци","69076","",""
"кокошчинка","69075","",""
"крамола","69074","",""
"дяволосам","69073","",""
"надясно","69042","",""
"наляво","69041","",""
"ябълчинка","69040","",""
"пишинен","69039","dialectal lexeme",""
"нарасна","69038","",""
"тръскам","69037","",""
"тропкам","69036","",""
"хорище","69035","",""
"друмба","69034","",""
"попугер","69033","dialectal lexeme",""
"колан","69032","Turkish loan",""
"закопчавам","69031","",""
"натака","69030","",""
"цалка","69029","dialectal lexeme",""
"кукулка","69028","dialectal lexeme",""
"копче","69027","Turkish loan",""
"сребърен","69026","",""
"украшение","69025","markedly standard lexeme",""
"Янко","69024","",""
"гердан","69023","Turkish loan",""
"китя","69022","",""
"никяф","69021","Turkish loan",""
"жълтица","69020","",""
"кордон","69019","",""
"опашалка","69018","dialectal lexeme",""
"углава","69017","dialectal lexeme",""
"таканка","69016","dialectal lexeme",""
"углав","69015","dialectal lexeme",""
"измеря","69014","",""
"дилаф","69013","Greek loan, dialectal lexeme",""
"смъцам","69012","dialectal lexeme",""
"главеник","69011","dialectal lexeme",""
"цедилчинка","69010","",""
"официален","69009","markedly standard lexeme",""
"накичвам","69008","",""
"вървеж","65745","",""
"Трампите","65103","",""
"чалдисвам","65098","Turkish loan",""
"олеле","65095","",""
"загаля","64961","",""
"на.ум","64960","",""
"дружка","64959","",""
"отека","64958","",""
"здравувам","64957","",""
"въведа","64956","",""
"шипка","64955","",""
"порукам","64954","dialectal lexeme",""
"настроение","64953","markedly standard lexeme",""
"компания","64952","",""
"разсърдя","64951","",""
"заголяя","64950","",""
"любя","64949","",""
"мирен","64944","",""
"син","64899","",""
"Васа","64898","",""
"рубен","64895","dialectal lexeme",""
"хаша","64894","dialectal lexeme",""
"завивало","64893","",""
"светлина","64892","",""
"подпаля","64891","",""
"бор","64890","",""
"ламбица","64889","",""
"издойда","64888","",""
"вър","64737","",""
"пръс","64736","",""
"чина","64507","dialectal lexeme",""
"садева","64504","dialectal lexeme",""
"Подкова","64431","",""
"ехе","64426","",""
"съюз","64399","",""
"карлък","64393","dialectal lexeme",""
"фелдшер","64388","",""
"попара","64379","",""
"яд","64366","",""
"кьопав","64365","dialectal lexeme",""
"литна","64364","",""
"бързя","64363","",""
"попаса","64362","",""
"орлов","64361","",""
"мукавичав","64360","dialectal lexeme",""
"изагня","64359","",""
"глама","64358","",""
"компирък","64357","dialectal lexeme",""
"запатя","64356","dialectal lexeme",""
"замаша","64355","",""
"Ана","64354","",""
"щръклея","64353","",""
"позапра","64351","",""
"опаш","64350","dialectal lexeme",""
".","64344","",""
"Попова Падина","64277","",""
"Две Могили","64276","",""
"пещник","64216","dialectal lexeme",""
"вход","64210","",""
"Дафинкини","64200","",""
"измятам","64190","",""
"калитата","64189","Greek loan, dialectal lexeme",""
"главен","64188","",""
"кръпче","64187","",""
"два","64179","",""
"владея","64178","",""
"накача","64177","",""
"вдявам","64176","",""
"уйдисвам","64175","Turkish loan",""
"тамчек","64174","dialectal lexeme",""
"шарка","64173","",""
"нене","64172","Turkish loan, dialectal lexeme",""
"покривка","64171","",""
"шаря","64170","",""
"шаячен","64169","",""
"Пасош","64168","",""
"разстана","64167","dialectal lexeme",""
"нишка","64166","",""
"Якоруда","64165","",""
"Велинград","64164","compound",""
"Емине","64163","",""
"дърмоня","64162","",""
"отмитам","64161","",""
"черпвам","64160","",""
"ступвам","64159","",""
"тикам","64158","",""
"Визица","64157","",""
"утъпча","64156","",""
"вляво","64155","",""
"вдясно","64154","",""
"такана","64153","dialectal lexeme",""
"лешник","64152","",""
"едвам","64151","",""
"сопа","64150","Turkish loan",""
"тарга","64149","Romanian loan",""
"влашка","64148","dialectal lexeme",""
"изграждам","64147","",""
"оплитам","64146","",""
"подшилвам","64145","dialectal lexeme",""
"габров","64144","",""
"Горо","64143","",""
"Тодора","64142","",""
"малкотърновски","64141","compound",""
"Заберново","64140","",""
"Завет","64138","",""
"от.глава","64137","",""
"напиша","64136","",""
"Анто","64135","Greek loan",""
"Кула","64134","",""
"утека","64133","dialectal lexeme",""
"опомня","64132","",""
"обнодя","64131","dialectal lexeme",""
"на.двор","64130","dialectal lexeme",""
"сговор","64129","",""
"уготвя","64128","",""
"наблягам","64127","",""
"кутам","64126","dialectal lexeme",""
"Никола","64125","",""
"Калугер","64124","",""
"Гранитово","64123","",""
"вревя","64122","dialectal lexeme",""
"застъпя","64121","",""
"тике","64120","dialectal lexeme",""
"мреке","64119","dialectal lexeme",""
"пиянство","64118","",""
"щуротия","64117","",""
"теме","64116","",""
"косица","64115","",""
"детинство","64114","",""
"кръпляк","64113","dialectal lexeme",""
"увивам","64112","",""
"младич","64111","dialectal lexeme",""
"сплаша","64110","",""
"дупе","64109","",""
"издържа","64108","",""
"украса","64107","",""
"Ваньо","64106","",""
"вечеринка","64105","",""
"скутам","64104","dialectal usage",""
"почукам","64103","",""
"убедя","64102","",""
"мъртъв","64101","",""
"птичка","64100","",""
"мъртвец","64099","",""
"смърдя","64098","",""
"плесен","64097","",""
"добре.дошъл","64096","",""
"бъклица","64095","",""
"престоря","64094","",""
"буреняк","64093","",""
"пелин","64092","",""
"урасна","64091","",""
"всите","64090","dialectal lexeme",""
"Петкана","64089","",""
"чума","64088","",""
"пеша","64087","",""
"яхам","64086","",""
"адрелес","64085","Turkish loan, dialectal lexeme",""
"баня","64084","Balkan Latin loan",""
"на.отделно","64083","",""
"кастря","64082","",""
"дъбов","64081","",""
"мешов","64080","Turkish loan, dialectal lexeme",""
"отдалече","64079","",""
"собствен","64078","",""
"вар","64077","",""
"поразнеса","64076","",""
"шиле","64075","",""
"потури","64074","Turkish loan",""
"майски","64073","",""
"заплодявам","64072","",""
"дейност","64071","markedly standard lexeme",""
"напаря","64070","",""
"нагревка","64069","",""
"арпа","64068","Turkish loan, dialectal lexeme",""
"копичка","64067","",""
"плевя","64066","",""
"кирия","64065","Turkish loan",""
"заравям","64064","",""
"по.старому","64063","",""
"подзимашен","64062","dialectal lexeme",""
"пореден","64061","",""
"констатирам","64060","markedly standard lexeme",""
"Анадол","64059","Turkish loan",""
"верига","64058","",""
"дезна","64057","dialectal lexeme",""
"есакъв","64056","dialectal lexeme",""
"надялам","64055","",""
"темел","64054","Turkish loan",""
"всред","64053","",""
"усурна","64052","dialectal lexeme",""
"кано","64051","dialectal lexeme",""
"навръщам","64050","",""
"издялам","64049","",""
"изкова","64048","",""
"егюптин","64047","dialectal usage",""
"кърк","64046","Turkish loan, dialectal lexeme",""
"отуз","64045","Turkish loan, dialectal lexeme",""
"спитя","64044","dialectal lexeme",""
"есолкав","64043","dialectal lexeme",""
"файда","64042","Turkish loan",""
"истиф","64041","Turkish loan",""
"окосявам","64040","",""
"дикелче","64039","",""
"разсаждам","64038","",""
"тогаванака","64037","dialectal lexeme",""
"промъкна","64036","",""
"напрягам","64035","",""
"пишкам","64034","dialectal usage",""
"плещи","64033","",""
"рожденик","64032","",""
"нахакам","64031","",""
"ашлама","64030","Turkish loan",""
"намъкна","64029","",""
"навън","64028","",""
"жила","64027","",""
"тютюнев","64026","",""
"челeдисвам","64025","dialectal lexeme",""
"монопол","64024","",""
"пастал","64023","Turkish loan",""
"оратисвам","64022","Turkish loan, dialectal lexeme",""
"котка","64021","",""
"надалече","64020","",""
"брало","64019","dialectal lexeme",""
"главица","64018","",""
"стъргалце","64017","",""
"компирен","64016","dialectal lexeme",""
"населя","64015","",""
"буедин","64014","dialectal lexeme",""
"етукана","64013","dialectal lexeme",""
"евел","64012","Turkish loan, dialectal lexeme",""
"мутек","64011","dialectal lexeme",""
"поемам","64010","",""
"изплодя","64009","",""
"есолкова","64008","dialectal lexeme",""
"община","64007","",""
"дизна","64006","dialectal lexeme",""
"юница","64005","",""
"отелвам","64004","",""
"дено","64003","dialectal lexeme",""
"циментирам","64002","",""
"начуквам","64001","",""
"виличка","64000","",""
"чикут","63999","dialectal lexeme",""
"зрънце","63998","",""
"цъфна","63997","",""
"йеди","63996","Turkish loan, dialectal lexeme",""
"доксан","63995","Turkish loan, dialectal lexeme",""
"касо","63994","dialectal lexeme",""
"казандисвам","63993","Turkish loan, dialectal lexeme",""
"ходом","63992","",""
"Хасково","63991","",""
"никина","63990","dialectal lexeme",""
"Гюмюрджина","63989","",""
"сахат","63988","Turkish loan",""
"давар","63987","Turkish loan, dialectal lexeme",""
"алтмъш","63986","Turkish loan, dialectal lexeme",""
"отмахна","63985","",""
"Лес","63984","",""
"накастря","63983","",""
"дъбиен","63982","dialectal lexeme",""
"подник","63981","dialectal lexeme",""
"десо","63980","dialectal lexeme",""
"затикам","63979","",""
"от.ниско","63978","",""
"кошинка","63977","dialectal lexeme",""
"премятвам","63975","",""
"бобовине","63954","dialectal lexeme",""
"герен","63953","Turkish loan",""
"превея","63952","",""
"нашибам","63951","",""
"лозар","63950","",""
"скубя","63949","",""
"пешак","63948","",""
"пресека","63947","",""
"застройвам","63946","",""
"рибен","63945","",""
"белвар","63944","dialectal lexeme",""
"пизгал","63943","dialectal lexeme",""
"пизгаз","63942","",""
"пападурка","63941","dialectal lexeme",""
"заложа","63940","",""
"на.тук","63939","",""
"Драгостинов","63936","",""
"Драгозтинов","63935","",""
"го","63932","",""
"восък","63928","",""
"рисувам","63927","",""
"млечница","63926","",""
"тумба","63925","",""
"нависоко","63924","",""
"спукам","63923","",""
"лукчец","63922","",""
"мръвчица","63921","",""
"мех","63920","",""
"магаза","63919","Turkish loan",""
"поразя","63918","",""
"посоля","63917","",""
"месце","63916","",""
"гозба","63915","",""
"съхна","63914","",""
"събуя","63913","",""
"измокря","63912","",""
"обуща","63911","",""
"гюл","63910","Turkish loan",""
"пиене","63909","",""
"барака","63908","Turkish loan",""
"панаир","63907","Greek loan",""
"любим","63906","",""
"слабичък","63905","",""
"свещица","63904","",""
"нарека","63903","",""
"столе","63902","",""
"трикрак","63901","",""
"Цани","63900","",""
"шур","63899","dialectal lexeme",""
"кипя","63898","",""
"лоза","63897","",""
"филиз","63896","Turkish loan",""
"филизя","63895","",""
"изтребя","63894","",""
"Владимирово","63893","compound",""
"Лехчево","63892","",""
"гъска","63891","",""
"четиринадесети","63890","",""
"Люта","63889","",""
"тромпенце","63888","",""
"тромпет","63887","",""
"гайданица","63886","",""
"оброк","63885","",""
"Спасовден","63884","compound",""
"свети.дух","63883","",""
"цигулар","63882","",""
"рибарчанин","63881","",""
"сегакана","63880","dialectal lexeme",""
"пущинак","63879","",""
"клисурски","63878","",""
"племе","63877","",""
"гръцки","63876","",""
"шоплук","63875","",""
"шоп","63874","",""
"Брусен","63873","",""
"Васильово","63872","",""
"бруснянин","63871","",""
"тетевенец","63870","",""
"гъстак","63869","",""
"гладувам","63868","",""
"предам","63867","",""
"изпущя","63866","",""
"изпустя","63865","",""
"кръстат","63864","",""
"изчета","63863","",""
"продрищя","63862","",""
"младище","63861","dialectal lexeme",""
"цяр","63860","",""
"навик","63859","",""
"лапвам","63858","",""
"хап","63857","",""
"лапам","63856","",""
"откак","63855","",""
"греда","63854","",""
"заговенки","63853","dialectal lexeme",""
"препускам","63852","",""
"яздя","63851","",""
"оскубна","63850","",""
"годежар","63849","",""
"годинчица","63848","",""
"пръстенче","63847","",""
"котле","63846","",""
"лед","63845","",""
"сурвакам","63844","",""
"кравай","63843","",""
"месвам","63842","",""
"мамалига","63841","Romanian loan, dialectal lexeme",""
"характер","63840","",""
"огладнея","63839","",""
"дори","63838","",""
"съветски","63837","",""
